# Metadata
bin_width_s: 16.0ns
total_count: 94594

# bin-index, time, count
3836 6.14e-05s 1
1160 1.86e-05s 1
1047 1.68e-05s 2
1035 1.66e-05s 1
1034 1.66e-05s 1
1022 1.64e-05s 5
1021 1.64e-05s 1
1010 1.62e-05s 4
1009 1.62e-05s 18
997 1.60e-05s 44
996 1.60e-05s 30
995 1.59e-05s 1
985 1.58e-05s 14
984 1.58e-05s 136
983 1.57e-05s 26
972 1.56e-05s 107
971 1.56e-05s 291
970 1.55e-05s 22
960 1.54e-05s 28
959 1.54e-05s 485
958 1.53e-05s 354
957 1.53e-05s 5
947 1.52e-05s 186
946 1.52e-05s 1083
945 1.51e-05s 261
935 1.50e-05s 16
934 1.50e-05s 981
933 1.49e-05s 1623
932 1.49e-05s 109
922 1.48e-05s 238
921 1.48e-05s 2444
920 1.47e-05s 1486
919 1.47e-05s 23
910 1.46e-05s 13
909 1.46e-05s 1132
908 1.45e-05s 3880
907 1.45e-05s 775
897 1.44e-05s 135
896 1.44e-05s 3272
895 1.43e-05s 4285
894 1.43e-05s 233
885 1.42e-05s 6
884 1.42e-05s 815
883 1.41e-05s 6146
882 1.41e-05s 2663
881 1.41e-05s 22
872 1.40e-05s 71
871 1.40e-05s 2768
870 1.39e-05s 6901
869 1.39e-05s 1031
868 1.39e-05s 1
860 1.38e-05s 1
859 1.38e-05s 390
858 1.37e-05s 5482
857 1.37e-05s 5102
856 1.37e-05s 225
847 1.36e-05s 14
846 1.36e-05s 1465
845 1.35e-05s 6872
844 1.35e-05s 2246
843 1.35e-05s 25
834 1.34e-05s 88
833 1.33e-05s 3056
832 1.33e-05s 5294
831 1.33e-05s 640
830 1.33e-05s 1
822 1.32e-05s 3
821 1.32e-05s 413
820 1.31e-05s 3925
819 1.31e-05s 2696
818 1.31e-05s 112
809 1.30e-05s 13
808 1.29e-05s 1003
807 1.29e-05s 3281
806 1.29e-05s 862
805 1.29e-05s 7
796 1.28e-05s 80
795 1.27e-05s 1429
794 1.27e-05s 1634
793 1.27e-05s 172
784 1.26e-05s 1
783 1.25e-05s 193
782 1.25e-05s 1131
781 1.25e-05s 615
780 1.25e-05s 28
771 1.24e-05s 10
770 1.23e-05s 258
769 1.23e-05s 610
768 1.23e-05s 149
767 1.23e-05s 1
758 1.21e-05s 26
757 1.21e-05s 240
756 1.21e-05s 256
755 1.21e-05s 20
746 1.20e-05s 2
745 1.19e-05s 31
744 1.19e-05s 120
743 1.19e-05s 52
733 1.17e-05s 3
732 1.17e-05s 21
731 1.17e-05s 62
730 1.17e-05s 16
720 1.15e-05s 3
719 1.15e-05s 17
718 1.15e-05s 15
706 1.13e-05s 4
705 1.13e-05s 1
693 1.11e-05s 1
680 1.09e-05s 1
