# Metadata
bin_width_s: 16.0ns
total_count: 88353

# bin-index, time, count
4896 7.84e-05s 1
1598 2.56e-05s 1
1511 2.42e-05s 1
1499 2.40e-05s 1
1487 2.38e-05s 3
1486 2.38e-05s 1
1474 2.36e-05s 19
1473 2.36e-05s 7
1462 2.34e-05s 9
1461 2.34e-05s 32
1460 2.34e-05s 3
1449 2.32e-05s 41
1448 2.32e-05s 49
1437 2.30e-05s 15
1436 2.30e-05s 173
1435 2.30e-05s 48
1425 2.28e-05s 3
1424 2.28e-05s 126
1423 2.28e-05s 283
1422 2.28e-05s 20
1412 2.26e-05s 27
1411 2.26e-05s 496
1410 2.26e-05s 324
1409 2.26e-05s 8
1399 2.24e-05s 237
1398 2.24e-05s 1133
1397 2.24e-05s 210
1396 2.24e-05s 1
1387 2.22e-05s 30
1386 2.22e-05s 1016
1385 2.22e-05s 1469
1384 2.22e-05s 96
1374 2.20e-05s 260
1373 2.20e-05s 2312
1372 2.20e-05s 1290
1371 2.20e-05s 21
1362 2.18e-05s 17
1361 2.18e-05s 1231
1360 2.18e-05s 3607
1359 2.18e-05s 664
1349 2.16e-05s 162
1348 2.16e-05s 3307
1347 2.16e-05s 3630
1346 2.16e-05s 214
1337 2.14e-05s 6
1336 2.14e-05s 984
1335 2.14e-05s 5531
1334 2.14e-05s 2289
1333 2.13e-05s 30
1324 2.12e-05s 81
1323 2.12e-05s 2870
1322 2.12e-05s 5944
1321 2.12e-05s 883
1320 2.11e-05s 4
1312 2.10e-05s 2
1311 2.10e-05s 467
1310 2.10e-05s 5314
1309 2.10e-05s 4091
1308 2.09e-05s 203
1299 2.08e-05s 27
1298 2.08e-05s 1602
1297 2.08e-05s 6169
1296 2.08e-05s 1875
1295 2.07e-05s 21
1286 2.06e-05s 155
1285 2.06e-05s 3312
1284 2.06e-05s 4501
1283 2.05e-05s 553
1282 2.05e-05s 3
1274 2.04e-05s 1
1273 2.04e-05s 543
1272 2.04e-05s 3832
1271 2.04e-05s 2224
1270 2.03e-05s 79
1261 2.02e-05s 30
1260 2.02e-05s 1171
1259 2.02e-05s 2925
1258 2.01e-05s 722
1257 2.01e-05s 5
1248 2.00e-05s 123
1247 2.00e-05s 1383
1246 2.00e-05s 1478
1245 1.99e-05s 160
1236 1.98e-05s 1
1235 1.98e-05s 258
1234 1.98e-05s 1219
1233 1.97e-05s 515
1232 1.97e-05s 21
1223 1.96e-05s 18
1222 1.96e-05s 389
1221 1.96e-05s 605
1220 1.95e-05s 130
1210 1.94e-05s 32
1209 1.94e-05s 272
1208 1.93e-05s 224
1207 1.93e-05s 15
1198 1.92e-05s 2
1197 1.92e-05s 61
1196 1.92e-05s 171
1195 1.91e-05s 52
1194 1.91e-05s 4
1185 1.90e-05s 6
1184 1.90e-05s 45
1183 1.89e-05s 67
1182 1.89e-05s 7
1172 1.88e-05s 7
1171 1.88e-05s 16
1170 1.87e-05s 12
1159 1.86e-05s 6
1158 1.85e-05s 2
1157 1.85e-05s 1
1146 1.84e-05s 3
1133 1.81e-05s 1
