# Metadata
bin_width_s: 8.0ns
total_count: 102336

# bin-index, time, count
2635 2.11e-05s 1
2539 2.03e-05s 1
2427 1.94e-05s 1
2328 1.86e-05s 1
2311 1.85e-05s 1
2295 1.84e-05s 1
2269 1.82e-05s 1
2257 1.81e-05s 2
2227 1.78e-05s 1
2218 1.78e-05s 1
2215 1.77e-05s 1
2206 1.77e-05s 1
2188 1.75e-05s 1
2179 1.74e-05s 1
2174 1.74e-05s 1
2166 1.73e-05s 1
2138 1.71e-05s 1
2137 1.71e-05s 1
2125 1.70e-05s 1
2103 1.68e-05s 1
2099 1.68e-05s 1
2091 1.67e-05s 1
2085 1.67e-05s 1
2069 1.66e-05s 1
2052 1.64e-05s 1
2007 1.61e-05s 1
1992 1.59e-05s 1
1991 1.59e-05s 1
1987 1.59e-05s 1
1984 1.59e-05s 1
1979 1.58e-05s 1
1974 1.58e-05s 1
1973 1.58e-05s 1
1969 1.58e-05s 1
1952 1.56e-05s 1
1951 1.56e-05s 1
1941 1.55e-05s 1
1927 1.54e-05s 1
1907 1.53e-05s 1
1903 1.52e-05s 1
1897 1.52e-05s 1
1867 1.49e-05s 1
1864 1.49e-05s 1
1856 1.49e-05s 1
1840 1.47e-05s 1
1761 1.41e-05s 1
1736 1.39e-05s 1
1718 1.38e-05s 1
1716 1.37e-05s 1
1710 1.37e-05s 1
1708 1.37e-05s 1
1704 1.36e-05s 1
1698 1.36e-05s 1
1689 1.35e-05s 1
1685 1.35e-05s 1
1682 1.35e-05s 1
1679 1.34e-05s 1
1675 1.34e-05s 1
1639 1.31e-05s 1
1638 1.31e-05s 1
1629 1.30e-05s 1
1627 1.30e-05s 1
1606 1.29e-05s 1
1596 1.28e-05s 1
1573 1.26e-05s 1
1559 1.25e-05s 1
1557 1.25e-05s 1
1555 1.24e-05s 1
1551 1.24e-05s 1
1549 1.24e-05s 1
1546 1.24e-05s 1
1545 1.24e-05s 1
1534 1.23e-05s 1
1503 1.20e-05s 1
1490 1.19e-05s 1
1487 1.19e-05s 1
1484 1.19e-05s 1
1481 1.19e-05s 1
1477 1.18e-05s 1
1468 1.18e-05s 1
1454 1.16e-05s 1
1449 1.16e-05s 1
1439 1.15e-05s 1
1434 1.15e-05s 1
1403 1.12e-05s 1
1388 1.11e-05s 1
1370 1.10e-05s 1
1364 1.09e-05s 1
1344 1.08e-05s 1
1329 1.06e-05s 1
1322 1.06e-05s 1
1305 1.04e-05s 1
1289 1.03e-05s 1
1282 1.03e-05s 1
1280 1.02e-05s 1
1277 1.02e-05s 1
1265 1.01e-05s 1
1263 1.01e-05s 1
1256 1.01e-05s 2
1253 1.00e-05s 1
1251 1.00e-05s 1
1246 9.98e-06s 1
1241 9.94e-06s 1
1238 9.91e-06s 1
1228 9.83e-06s 1
1218 9.75e-06s 1
1217 9.74e-06s 1
1202 9.62e-06s 1
1190 9.53e-06s 2
1184 9.48e-06s 1
1170 9.37e-06s 1
1078 8.63e-06s 1
1039 8.32e-06s 1
1025 8.21e-06s 1
1013 8.11e-06s 1
1012 8.10e-06s 1
971 7.78e-06s 1
963 7.71e-06s 1
932 7.46e-06s 1
918 7.35e-06s 1
899 7.20e-06s 1
889 7.12e-06s 1
855 6.85e-06s 1
844 6.76e-06s 1
832 6.66e-06s 1
815 6.53e-06s 1
807 6.46e-06s 1
801 6.42e-06s 2
795 6.37e-06s 1
789 6.32e-06s 3
788 6.31e-06s 20
787 6.30e-06s 12
786 6.30e-06s 17
785 6.29e-06s 6
784 6.28e-06s 11
782 6.26e-06s 1
781 6.26e-06s 1
779 6.24e-06s 32
778 6.23e-06s 34
777 6.22e-06s 25
776 6.22e-06s 26
775 6.21e-06s 35
774 6.20e-06s 21
773 6.19e-06s 37
772 6.18e-06s 29
771 6.18e-06s 21
770 6.17e-06s 25
769 6.16e-06s 29
768 6.15e-06s 41
767 6.14e-06s 32
766 6.14e-06s 35
765 6.13e-06s 33
764 6.12e-06s 40
763 6.11e-06s 20
762 6.10e-06s 28
761 6.10e-06s 31
760 6.09e-06s 29
