# Metadata
bin_width_s: 8.0ns
total_count: 103085

# bin-index, time, count
2392 1.91e-05s 1
2342 1.87e-05s 1
2337 1.87e-05s 1
2324 1.86e-05s 2
2322 1.86e-05s 1
2321 1.86e-05s 1
2319 1.86e-05s 1
2317 1.85e-05s 1
2305 1.84e-05s 1
2291 1.83e-05s 1
2284 1.83e-05s 1
2276 1.82e-05s 1
2269 1.82e-05s 1
2268 1.82e-05s 1
2257 1.81e-05s 1
2247 1.80e-05s 1
2219 1.78e-05s 1
2215 1.77e-05s 1
2214 1.77e-05s 1
2211 1.77e-05s 1
2200 1.76e-05s 1
2193 1.76e-05s 1
2183 1.75e-05s 1
2154 1.72e-05s 1
2149 1.72e-05s 1
2121 1.70e-05s 1
2120 1.70e-05s 1
2107 1.69e-05s 1
2099 1.68e-05s 1
2072 1.66e-05s 1
2039 1.63e-05s 1
2011 1.61e-05s 1
2003 1.60e-05s 1
1998 1.60e-05s 1
1993 1.60e-05s 1
1991 1.59e-05s 1
1986 1.59e-05s 1
1937 1.55e-05s 1
1934 1.55e-05s 1
1923 1.54e-05s 2
1906 1.53e-05s 1
1904 1.52e-05s 1
1889 1.51e-05s 2
1854 1.48e-05s 1
1852 1.48e-05s 1
1801 1.44e-05s 1
1797 1.44e-05s 1
1793 1.44e-05s 1
1732 1.39e-05s 1
1726 1.38e-05s 1
1700 1.36e-05s 1
1693 1.36e-05s 1
1675 1.34e-05s 1
1672 1.34e-05s 1
1664 1.33e-05s 1
1659 1.33e-05s 1
1648 1.32e-05s 1
1645 1.32e-05s 1
1639 1.31e-05s 1
1636 1.31e-05s 1
1632 1.31e-05s 1
1631 1.31e-05s 1
1624 1.30e-05s 1
1623 1.30e-05s 1
1617 1.29e-05s 1
1613 1.29e-05s 1
1590 1.27e-05s 1
1583 1.27e-05s 1
1570 1.26e-05s 1
1566 1.25e-05s 1
1559 1.25e-05s 1
1558 1.25e-05s 1
1539 1.23e-05s 1
1529 1.22e-05s 1
1523 1.22e-05s 1
1500 1.20e-05s 1
1495 1.20e-05s 1
1486 1.19e-05s 1
1453 1.16e-05s 1
1439 1.15e-05s 1
1437 1.15e-05s 1
1431 1.15e-05s 1
1424 1.14e-05s 1
1411 1.13e-05s 1
1410 1.13e-05s 1
1394 1.12e-05s 1
1379 1.10e-05s 1
1375 1.10e-05s 1
1368 1.10e-05s 1
1356 1.09e-05s 2
1336 1.07e-05s 1
1307 1.05e-05s 1
1276 1.02e-05s 1
1272 1.02e-05s 1
1243 9.95e-06s 1
1232 9.86e-06s 1
1226 9.82e-06s 1
1190 9.53e-06s 1
1179 9.44e-06s 1
1158 9.27e-06s 1
1142 9.14e-06s 1
1138 9.11e-06s 1
1135 9.09e-06s 1
1123 8.99e-06s 1
1118 8.95e-06s 1
1093 8.75e-06s 1
1072 8.58e-06s 1
1065 8.53e-06s 1
1051 8.42e-06s 1
1045 8.37e-06s 1
1042 8.34e-06s 1
1019 8.16e-06s 1
1016 8.14e-06s 1
1002 8.02e-06s 1
991 7.94e-06s 1
973 7.79e-06s 1
970 7.77e-06s 1
960 7.69e-06s 2
959 7.68e-06s 1
