# Metadata
bin_width_s: 8.0ns
total_count: 106268

# bin-index, time, count
2160 1.73e-05s 1
1989 1.59e-05s 1
1745 1.40e-05s 1
1641 1.31e-05s 1
1637 1.31e-05s 1
1581 1.27e-05s 1
1470 1.18e-05s 1
1396 1.12e-05s 1
1388 1.11e-05s 1
1310 1.05e-05s 1
1282 1.03e-05s 1
1266 1.01e-05s 1
1229 9.84e-06s 1
1199 9.60e-06s 1
1094 8.76e-06s 1
1072 8.58e-06s 1
955 7.65e-06s 1
951 7.62e-06s 1
938 7.51e-06s 1
933 7.47e-06s 1
898 7.19e-06s 1
868 6.95e-06s 1
846 6.78e-06s 1
828 6.63e-06s 1
772 6.18e-06s 1
763 6.11e-06s 1
754 6.04e-06s 1
751 6.02e-06s 1
727 5.82e-06s 1
721 5.78e-06s 1
610 4.89e-06s 1
602 4.82e-06s 1
552 4.42e-06s 1
528 4.23e-06s 1
484 3.88e-06s 1
477 3.82e-06s 20
476 3.82e-06s 193
470 3.77e-06s 26
469 3.76e-06s 7
464 3.72e-06s 3
463 3.71e-06s 5
462 3.70e-06s 1
461 3.70e-06s 1
416 3.34e-06s 1
413 3.31e-06s 1
412 3.30e-06s 10
411 3.30e-06s 2
410 3.29e-06s 99464
401 3.22e-06s 5565
400 3.21e-06s 934
